Age,Categorie_age,Sexe,Milieu,Region_geographique,Etat_matrimonial,Niveau_education,Annees_experience,CSP,Secteur_emploi,Propriete_immobiliere,Vehicule_motorise,Terrain_agricole,Revenu_secondaire,Revenu_Annuel
48,45-54,Femme,Urbain,Est,Veuf,Sans niveau,16.0,Agriculteurs,Informel,Non,Non,Non,Oui,5559.0
32,25-34,Homme,Urbain,Ouest,Marié,Supérieur,0.0,Employés,Privé,Oui,Non,Non,Non,32299.0
25,25-34,Femme,Urbain,Nord,Veuf,Fondamental,3.0,Agriculteurs,Informel,Non,Non,Oui,Non,3768.0
31,25-34,Homme,Urbain,Sud,Célibataire,Secondaire,1.0,Ouvriers,Privé,Non,Non,Non,Non,11043.0
40,35-44,Homme,Urbain,Centre,Marié,Fondamental,4.0,Ouvriers,Privé,Non,Non,Non,Non,7665.0
57,55-64,Homme,Rural,Nord,Marié,Fondamental,10.0,Ouvriers,Privé,Non,Non,Non,Non,6135.0
38,35-44,Femme,Rural,Centre,Marié,Secondaire,1.0,Ouvriers,Informel,Oui,Non,Non,Non,6361.0
33,25-34,Homme,Rural,Sud,Marié,Secondaire,10.0,Employés,Privé,Non,Non,Non,Non,18375.0
62,55-64,Femme,Urbain,Nord,Divorcé,Supérieur,5.0,Professions intermédiaires,Public,Oui,Non,Non,Oui,46673.0
35,35-44,Femme,Rural,Ouest,Marié,Secondaire,6.0,Employés,Privé,Non,Non,Non,Non,14446.0
41,35-44,Homme,Urbain,Est,Divorcé,Fondamental,7.0,Ouvriers,Informel,Non,Non,Non,Non,5105.0
43,35-44,Femme,Rural,Centre,Marié,Supérieur,14.0,Cadres supérieurs,Public,Non,Oui,Non,Oui,86210.0
42,35-44,Homme,Rural,Nord,Marié,Secondaire,16.0,Professions intermédiaires,Privé,Oui,Non,Non,Non,32855.0
62,55-64,Femme,Rural,Centre,Marié,Fondamental,6.0,Ouvriers,Privé,Non,Non,Non,Non,4811.0
58,55-64,Homme,Urbain,Ouest,Veuf,Supérieur,5.0,Professions intermédiaires,Privé,Non,Non,Non,Non,60760.0
46,45-54,Femme,Rural,Nord,Marié,Fondamental,2.0,Agriculteurs,Informel,Non,Oui,Non,Non,2716.0
32,25-34,Homme,Urbain,Centre,Veuf,Sans niveau,3.0,Agriculteurs,Privé,Non,Non,Non,Non,4607.0
62,55-64,Homme,Urbain,Ouest,Marié,Supérieur,37.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,205002.0
18,18-24,Femme,Urbain,Est,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Non,4901.0
42,35-44,Femme,Urbain,Ouest,Marié,Fondamental,16.0,Ouvriers,Informel,Non,Non,Non,Non,5260.0
24,18-24,Femme,Urbain,Sud,Célibataire,Supérieur,1.0,Employés,Public,Oui,Oui,Non,Non,22768.0
26,25-34,Homme,Rural,Ouest,Célibataire,Fondamental,1.0,Ouvriers,Informel,Non,Non,Non,Non,3853.0
41,35-44,Femme,Urbain,Centre,Célibataire,Supérieur,0.0,Employés,Privé,Oui,Oui,Non,Non,25598.0
18,18-24,Homme,Rural,Centre,Célibataire,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,3271.0
61,55-64,Femme,Rural,Nord,Divorcé,Secondaire,20.0,Professions intermédiaires,Privé,Non,Non,Non,Non,28792.0
25,25-34,Femme,Rural,Est,Marié,Sans niveau,3.0,Agriculteurs,Privé,Oui,Non,Oui,Oui,5104.0
41,35-44,Femme,Urbain,Ouest,Divorcé,Sans niveau,21.0,Ouvriers,Privé,Non,Oui,Non,Non,4360.0
28,25-34,Femme,Rural,Nord,Marié,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,22198.0
34,25-34,Femme,Rural,Nord,Marié,Supérieur,9.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,63852.0
25,25-34,Femme,Rural,Centre,Marié,Supérieur,2.0,Employés,Public,Non,Non,Non,Oui,29395.0
52,45-54,Homme,Rural,Sud,Marié,Secondaire,12.0,Employés,Privé,Non,Non,Oui,Non,19571.0
52,45-54,Homme,Urbain,Sud,Marié,Secondaire,0.0,Employés,Privé,Non,Non,Non,Non,14351.0
50,45-54,Homme,Rural,Ouest,Veuf,Secondaire,19.0,Professions intermédiaires,Public,Oui,Non,Non,Non,35538.0
22,18-24,Femme,Rural,Centre,Célibataire,Secondaire,2.0,Ouvriers,Privé,Non,Non,Non,Non,9030.0
59,55-64,Homme,Urbain,Sud,Veuf,Supérieur,21.0,Cadres supérieurs,Privé,Non,Oui,Non,Non,125669.0
56,55-64,Femme,Urbain,Sud,Divorcé,Secondaire,22.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,29714.0
58,55-64,Homme,Rural,Centre,Marié,Secondaire,33.0,Professions intermédiaires,Privé,Non,Non,Non,Non,51185.0
45,45-54,Homme,Urbain,Est,Veuf,Fondamental,10.0,Ouvriers,Privé,Non,Non,Non,Oui,10300.0
24,18-24,Homme,Rural,Nord,Marié,Secondaire,0.0,Employés,Privé,Non,Non,Non,Non,13284.0
26,25-34,Homme,Urbain,Centre,Marié,Secondaire,4.0,Employés,Privé,Non,Non,Non,Non,19639.0
25,25-34,Homme,Urbain,Centre,Célibataire,Secondaire,1.0,Employés,Public,Non,Oui,Non,Non,16442.0
29,25-34,Homme,Rural,Nord,Marié,Secondaire,8.0,Employés,Public,Non,Non,Non,Non,17978.0
51,45-54,Femme,Rural,Est,Marié,Secondaire,24.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,28737.0
50,45-54,Homme,Rural,Est,Veuf,Fondamental,16.0,Ouvriers,Privé,Non,Non,Non,Oui,9320.0
40,35-44,Homme,Rural,Centre,Marié,Supérieur,15.0,Cadres supérieurs,Public,Oui,Non,Non,Oui,112252.0
41,35-44,Homme,Rural,Centre,Célibataire,Secondaire,9.0,Employés,Public,Non,Oui,Non,Non,19621.0
54,45-54,Femme,Urbain,Centre,Marié,Supérieur,22.0,Cadres supérieurs,Privé,Non,Oui,Non,Oui,121651.0
52,45-54,Homme,Rural,Centre,Divorcé,Supérieur,20.0,Cadres supérieurs,Privé,Non,Oui,Non,Oui,139647.0
61,55-64,Homme,Urbain,Nord,Marié,Secondaire,1.0,Employés,Public,Non,Non,Non,Non,15855.0
57,55-64,Homme,Rural,Nord,Marié,Secondaire,35.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,50256.0
39,35-44,Femme,Urbain,Sud,Marié,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,6170.0
44,35-44,Femme,Rural,Sud,Marié,Supérieur,8.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,45933.0
52,45-54,Femme,Urbain,Centre,Marié,Fondamental,16.0,Ouvriers,Informel,Non,Non,Non,Non,5363.0
18,18-24,Homme,Urbain,Centre,Célibataire,Secondaire,0.0,Ouvriers,Privé,Non,Oui,Non,Non,12384.0
52,45-54,Femme,Urbain,Centre,Marié,Fondamental,32.0,Ouvriers,Informel,Non,Oui,Non,Non,6471.0
54,45-54,Homme,Urbain,Sud,Marié,Sans niveau,11.0,Inactifs,nan,Non,Non,Non,Non,4779.0
31,25-34,Homme,Urbain,Centre,Marié,Fondamental,12.0,Ouvriers,Privé,Non,Non,Non,Non,8791.0
20,18-24,Homme,Urbain,Est,Célibataire,Secondaire,0.0,Employés,Privé,Non,Oui,Non,Non,14401.0
18,18-24,Femme,Rural,Ouest,Célibataire,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,2698.0
22,18-24,Femme,Urbain,Centre,Célibataire,Secondaire,1.0,Employés,Privé,Non,Non,Non,Non,13618.0
43,35-44,Homme,Urbain,Centre,Marié,Secondaire,12.0,Employés,Privé,Non,Non,Non,Oui,28486.0
31,25-34,Homme,Rural,Sud,Divorcé,Secondaire,0.0,Employés,Public,Non,Non,Non,Non,11493.0
56,55-64,Homme,Urbain,Nord,Divorcé,Fondamental,21.0,Ouvriers,Informel,Oui,Non,Non,Non,6812.0
44,35-44,Homme,Rural,Nord,Marié,Secondaire,9.0,Employés,Privé,Non,Non,Non,Non,19570.0
26,25-34,Homme,Urbain,Sud,Marié,Fondamental,8.0,Ouvriers,Informel,Oui,Non,Non,Non,5213.0
32,25-34,Femme,Rural,Centre,Marié,Fondamental,5.0,Ouvriers,Privé,Non,Non,Non,Non,4576.0
32,25-34,Homme,Urbain,Nord,Marié,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,30823.0
43,35-44,Femme,Urbain,Est,Célibataire,Fondamental,7.0,Ouvriers,Informel,Non,Non,Non,Non,4095.0
59,55-64,Femme,Rural,Centre,Marié,Sans niveau,31.0,Agriculteurs,Informel,Non,Non,Oui,Oui,5002.0
30,25-34,Homme,Urbain,Centre,Marié,Fondamental,12.0,Ouvriers,Informel,Non,Oui,Non,Non,6415.0
49,45-54,Homme,Rural,Est,Marié,Supérieur,0.0,Employés,Privé,Non,Non,Non,Non,25645.0
56,55-64,Femme,Urbain,Centre,Marié,Supérieur,23.0,Cadres supérieurs,Privé,Non,Oui,Non,Oui,124849.0
49,45-54,Femme,Rural,Centre,Marié,Sans niveau,3.0,Agriculteurs,Informel,Non,Non,Oui,Non,1759.0
21,18-24,Femme,Rural,Ouest,Célibataire,Secondaire,1.0,Ouvriers,Informel,Non,Non,Non,Non,6228.0
47,45-54,Homme,Urbain,Sud,Veuf,Supérieur,21.0,Cadres supérieurs,Privé,Non,Oui,Non,Oui,128580.0
54,45-54,Femme,Rural,Est,Veuf,Sans niveau,11.0,Inactifs,nan,Non,Non,Non,Non,2470.0
40,35-44,Homme,Urbain,Centre,Marié,Sans niveau,17.0,Ouvriers,Informel,Non,Non,Non,Non,3945.0
56,55-64,Homme,Rural,Centre,Veuf,Secondaire,20.0,Professions intermédiaires,Public,Oui,Oui,Non,Oui,39459.0
62,55-64,Femme,Rural,Centre,Célibataire,Secondaire,29.0,Professions intermédiaires,Privé,Oui,Non,Non,Oui,40132.0
32,25-34,Homme,Urbain,Est,Marié,Secondaire,3.0,Ouvriers,Informel,Non,Non,Non,Non,8857.0
60,55-64,Homme,Urbain,Nord,Marié,Fondamental,2.0,Ouvriers,Informel,Non,Non,Non,Non,5071.0
46,45-54,Homme,Rural,Sud,Marié,Fondamental,1.0,Agriculteurs,Privé,Non,Non,Non,Non,3919.0
53,45-54,Femme,Rural,Nord,Marié,Secondaire,3.0,Ouvriers,Informel,Non,Non,Non,Non,6550.0
30,25-34,Femme,Rural,Ouest,Marié,Secondaire,3.0,Employés,Privé,Oui,Non,Non,Non,12687.0
49,45-54,Homme,Rural,Sud,Divorcé,Fondamental,7.0,Agriculteurs,Informel,Non,Non,Non,Non,3391.0
24,18-24,Femme,Urbain,Centre,Célibataire,Fondamental,1.0,Ouvriers,Informel,Non,Non,Non,Non,4175.0
39,35-44,Homme,Rural,Nord,Divorcé,Secondaire,0.0,Employés,Public,Non,Non,Non,Non,12757.0
45,45-54,Femme,Rural,Ouest,Veuf,Sans niveau,21.0,Agriculteurs,Informel,Oui,Non,Oui,Non,1860.0
19,18-24,Homme,Urbain,Ouest,Célibataire,Supérieur,0.0,Professions intermédiaires,Public,Non,Oui,Non,Non,40888.0
59,55-64,Femme,Urbain,Sud,Veuf,Secondaire,27.0,Professions intermédiaires,Privé,Oui,Oui,Non,Oui,36431.0
62,55-64,Homme,Rural,Sud,Veuf,Sans niveau,28.0,Agriculteurs,Privé,Non,Oui,Oui,Non,2956.0
23,18-24,Homme,Rural,Centre,Célibataire,Fondamental,4.0,Agriculteurs,Informel,Oui,Non,Oui,Non,3805.0
45,45-54,Homme,Urbain,Centre,Marié,Fondamental,11.0,Ouvriers,Privé,Non,Non,Oui,Non,8541.0
45,45-54,Homme,Rural,Est,Marié,Sans niveau,12.0,Agriculteurs,Informel,Non,Non,Oui,Non,2017.0
61,55-64,Femme,Urbain,Est,Célibataire,Fondamental,5.0,Agriculteurs,Informel,Non,Non,Oui,Non,3513.0
61,55-64,Homme,Rural,Ouest,Célibataire,Supérieur,28.0,Cadres supérieurs,Public,Oui,Oui,Non,Oui,166709.0
37,35-44,Homme,Urbain,Centre,Marié,Sans niveau,14.0,Inactifs,nan,Non,Non,Non,Non,5617.0
47,45-54,Homme,Urbain,Nord,Veuf,Supérieur,2.0,Employés,Privé,Non,Oui,Non,Non,35754.0
28,25-34,Femme,Urbain,Ouest,Célibataire,Fondamental,2.0,Ouvriers,Informel,Non,Non,Non,Non,4268.0
45,45-54,Homme,Rural,Est,Marié,Supérieur,9.0,Cadres supérieurs,Public,Non,Non,Non,Non,73412.0
42,35-44,Femme,Urbain,Centre,Marié,Fondamental,14.0,Ouvriers,Privé,Non,Non,Non,Non,7118.0
56,55-64,Homme,Rural,Sud,Marié,Supérieur,31.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,159040.0
50,45-54,Homme,Urbain,Nord,Veuf,Supérieur,18.0,Cadres supérieurs,Privé,Non,Oui,Non,Non,126187.0
18,18-24,Homme,Rural,Centre,Célibataire,Supérieur,0.0,Employés,Informel,Oui,Non,Non,Non,21476.0
44,35-44,Femme,Urbain,Est,Célibataire,Sans niveau,1.0,Ouvriers,Informel,Non,Non,Non,Non,2552.0
30,25-34,Femme,Urbain,Est,Marié,Secondaire,6.0,Employés,Privé,Non,Non,Non,Non,14265.0
58,55-64,Homme,Urbain,Est,Veuf,Supérieur,16.0,Cadres supérieurs,Privé,Oui,Non,Non,Non,106872.0
20,18-24,Femme,Urbain,Centre,Célibataire,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,7062.0
56,55-64,Femme,Rural,Nord,Veuf,Secondaire,21.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,32603.0
23,18-24,Femme,Urbain,Nord,Célibataire,Supérieur,0.0,Employés,Informel,Oui,Non,Non,Non,17694.0
25,25-34,Femme,Urbain,Ouest,Marié,Fondamental,5.0,Agriculteurs,Informel,Non,Non,Oui,Non,4096.0
44,35-44,Homme,Urbain,Ouest,Marié,Supérieur,10.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,97378.0
26,25-34,Femme,Urbain,Nord,Marié,Fondamental,5.0,Agriculteurs,Informel,Non,Non,Oui,Non,3714.0
54,45-54,Homme,Urbain,Est,Marié,Secondaire,21.0,Professions intermédiaires,Public,Non,Oui,Non,Non,35328.0
50,45-54,Homme,Urbain,Est,Veuf,Secondaire,4.0,Ouvriers,Informel,Non,Non,Non,Non,9102.0
59,55-64,Femme,Rural,Centre,Marié,Fondamental,39.0,Ouvriers,Informel,Non,Non,Non,Non,5946.0
61,55-64,Femme,Urbain,Centre,Veuf,Fondamental,26.0,Ouvriers,Informel,Non,Non,Non,Non,6121.0
41,35-44,Femme,Urbain,Sud,Marié,Fondamental,4.0,Ouvriers,Privé,Non,Non,Non,Non,5234.0
32,25-34,Femme,Urbain,Sud,Veuf,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,3594.0
49,45-54,Femme,Urbain,Ouest,Marié,Fondamental,0.0,Agriculteurs,Informel,Non,Non,Non,Oui,6674.0
49,45-54,Homme,Rural,Centre,Veuf,Supérieur,25.0,Cadres supérieurs,Public,Non,Non,Non,Non,151296.0
41,35-44,Homme,Rural,Sud,Célibataire,Secondaire,21.0,Professions intermédiaires,Privé,Oui,Oui,Non,Oui,36872.0
58,55-64,Femme,Urbain,Centre,Veuf,Fondamental,16.0,Ouvriers,Informel,Non,Non,Non,Non,5348.0
29,25-34,Homme,Urbain,Sud,Célibataire,Sans niveau,10.0,Inactifs,nan,Non,Non,Non,Non,4744.0
56,55-64,Homme,Urbain,Centre,Célibataire,Secondaire,1.0,Ouvriers,Privé,Non,Oui,Non,Non,12909.0
19,18-24,Femme,Rural,Centre,Célibataire,Secondaire,0.0,Ouvriers,Privé,Non,Non,Non,Non,8279.0
20,18-24,Homme,Rural,Centre,Célibataire,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,7688.0
54,45-54,Homme,Rural,Centre,Marié,Fondamental,19.0,Ouvriers,Informel,Non,Non,Non,Non,5632.0
34,25-34,Femme,Urbain,Est,Marié,Sans niveau,4.0,Ouvriers,Informel,Non,Non,Non,Non,2645.0
19,18-24,Femme,Rural,Centre,Célibataire,Secondaire,0.0,Employés,Informel,Non,Non,Non,Non,8137.0
19,18-24,Femme,Rural,Ouest,Marié,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,6010.0
45,45-54,Homme,Urbain,Ouest,Célibataire,Fondamental,6.0,Ouvriers,Privé,Non,Non,Non,Non,7777.0
40,35-44,Homme,Urbain,Centre,Marié,Secondaire,11.0,Employés,Privé,Oui,Non,Non,Non,24660.0
54,45-54,Homme,Urbain,Est,Marié,Fondamental,14.0,Ouvriers,Informel,Oui,Non,Non,Non,5684.0
49,45-54,Femme,Rural,Sud,Marié,Supérieur,22.0,Cadres supérieurs,Public,Non,Non,Non,Oui,97673.0
50,45-54,Femme,Rural,Sud,Veuf,Fondamental,27.0,Ouvriers,Informel,Non,Non,Non,Non,4383.0
18,18-24,Homme,Urbain,Centre,Marié,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,5143.0
36,35-44,Femme,Urbain,Centre,Marié,Secondaire,8.0,Employés,Privé,Non,Non,Non,Non,17855.0
19,18-24,Femme,Rural,Nord,Célibataire,Secondaire,0.0,Ouvriers,Informel,Oui,Non,Non,Non,5751.0
61,55-64,Homme,Urbain,Nord,Marié,Fondamental,6.0,Ouvriers,Informel,Non,Non,Non,Non,5585.0
43,35-44,Homme,Urbain,Centre,Marié,Sans niveau,6.0,Inactifs,nan,Non,Non,Non,Non,5602.0
49,45-54,Femme,Urbain,Est,Célibataire,Secondaire,12.0,Employés,Privé,Non,Non,Non,Non,17316.0
23,18-24,Homme,Urbain,Centre,Célibataire,Secondaire,1.0,Employés,Informel,Non,Oui,Non,Non,12586.0
49,45-54,Homme,Rural,Est,Divorcé,Fondamental,0.0,Agriculteurs,Privé,Non,Non,Oui,Non,4170.0
21,18-24,Femme,Urbain,Est,Célibataire,Fondamental,2.0,Ouvriers,Privé,Non,Non,Non,Non,5065.0
28,25-34,Homme,Rural,Ouest,Célibataire,Secondaire,6.0,Employés,Privé,Non,Non,Non,Non,18495.0
34,25-34,Femme,Urbain,Nord,Marié,Fondamental,8.0,Ouvriers,Informel,Non,Non,Non,Non,4463.0
55,55-64,Femme,Urbain,Est,Marié,Secondaire,10.0,Employés,Public,Non,Non,Non,Non,15614.0
41,35-44,Homme,Rural,Nord,Veuf,Fondamental,11.0,Ouvriers,Privé,Non,Non,Non,Non,6524.0
22,18-24,Femme,Urbain,Centre,Célibataire,Secondaire,0.0,Ouvriers,Privé,Non,Non,Non,Non,9877.0
