area,age,gender,education,socio_professional_group,years_experience,marital_status,has_car,home_ownership,has_land,number_of_children,source_revenu_secondaire,health_insurance,income,age_category,year_of_birth,age_squared,favorite_color
rural,31,homme,fondamental,Groupe6,13.0,marié,0,owned,1,3,0,0,1316,adulte,1993,961,jaune
urbain,48,homme,secondaire,Groupe5,16.0,divorcé,1,other,0,1,0,0,18717,sénior,1976,2304,rouge
urbain,29,homme,secondaire,Groupe6,6.0,divorcé,1,rented,0,1,0,1,5676,adulte,1995,841,jaune
urbain,33,homme,,Groupe6,10.0,veuf,1,owned,0,1,0,0,5444,adulte,1991,1089,jaune
urbain,61,homme,secondaire,Groupe2,30.0,veuf,0,rented,0,1,1,1,45434,âgé,1963,3721,rouge
rural,30,femme,sans_niveau,Groupe5,9.0,célibataire,1,owned,1,0,0,1,855,adulte,1994,900,bleu
urbain,29,homme,supérieur,Groupe3,7.0,célibataire,1,owned,0,2,1,0,516090,adulte,1995,841,rouge
rural,18,homme,fondamental,Groupe5,0.0,marié,0,owned,1,1,0,0,1666,jeune,2006,324,bleu
rural,45,homme,,Groupe3,22.0,marié,0,rented,1,1,1,1,1383,adulte,1979,2025,vert
urbain,24,femme,sans_niveau,Groupe2,6.0,divorcé,1,rented,1,0,1,1,8498,jeune,2000,576,rouge
urbain,37,homme,supérieur,Groupe6,9.0,célibataire,1,owned,0,0,0,0,11572,adulte,1987,1369,jaune
rural,30,homme,fondamental,Groupe2,7.0,célibataire,1,rented,1,0,0,0,5112,adulte,1994,900,rouge
rural,28,homme,fondamental,Groupe5,6.0,célibataire,1,owned,0,1,1,0,3191,adulte,1996,784,jaune
rural,33,homme,secondaire,Groupe1,8.0,divorcé,0,owned,1,1,0,0,17786,adulte,1991,1089,bleu
rural,34,homme,sans_niveau,Groupe4,10.0,célibataire,1,rented,1,1,0,1,2786,adulte,1990,1156,jaune
urbain,52,femme,supérieur,Groupe4,23.0,célibataire,1,owned,0,0,0,0,33411,sénior,1972,2704,jaune
urbain,57,homme,secondaire,Groupe5,28.0,marié,1,owned,0,2,0,1,90918,sénior,1967,3249,rouge
urbain,44,homme,supérieur,Groupe5,19.0,célibataire,0,rented,0,2,0,0,33374,adulte,1980,1936,bleu
rural,54,femme,supérieur,Groupe5,29.0,célibataire,0,owned,1,0,0,0,13553,sénior,1970,2916,vert
urbain,47,homme,sans_niveau,Groupe2,19.0,célibataire,0,,0,0,0,1,32333,sénior,1977,2209,jaune
urbain,42,homme,fondamental,Groupe3,18.0,marié,1,rented,0,1,1,0,22048,adulte,1982,1764,vert
urbain,56,homme,supérieur,Groupe4,26.0,célibataire,0,owned,0,1,0,0,23282,sénior,1968,3136,rouge
urbain,18,femme,secondaire,Groupe3,0.0,marié,1,owned,0,0,1,0,7496,jeune,2006,324,rouge
urbain,24,femme,secondaire,Groupe6,3.0,célibataire,1,rented,0,0,1,1,20065,jeune,2000,576,bleu
rural,22,femme,secondaire,Groupe6,4.0,célibataire,1,owned,1,0,1,0,2154,jeune,2002,484,jaune
urbain,30,homme,supérieur,Groupe4,7.0,célibataire,0,owned,0,2,0,1,59304,adulte,1994,900,jaune
rural,45,homme,sans_niveau,Groupe2,22.0,marié,0,owned,0,1,0,1,5048,adulte,1979,2025,bleu
urbain,18,femme,supérieur,Groupe2,0.0,célibataire,0,other,0,0,0,1,12125,jeune,2006,324,bleu
urbain,42,femme,secondaire,Groupe6,14.0,célibataire,0,owned,0,1,0,0,9930,adulte,1982,1764,bleu
rural,26,femme,secondaire,Groupe5,8.0,célibataire,1,rented,1,1,1,0,1378,adulte,1998,676,vert
rural,29,homme,secondaire,Groupe5,8.0,célibataire,1,other,0,0,1,1,21311,adulte,1995,841,bleu
urbain,38,homme,secondaire,Groupe3,,marié,1,owned,0,1,1,0,15009,adulte,1986,1444,vert
rural,60,homme,sans_niveau,Groupe3,26.0,marié,1,owned,1,1,1,1,23339,sénior,1964,3600,rouge
urbain,24,homme,fondamental,Groupe4,,veuf,1,owned,0,1,0,0,15041,jeune,2000,576,jaune
urbain,33,homme,fondamental,Groupe4,10.0,divorcé,0,other,0,0,1,1,14792,adulte,1991,1089,rouge
urbain,18,homme,fondamental,Groupe5,0.0,célibataire,1,rented,0,0,1,1,8057,jeune,2006,324,vert
urbain,24,femme,secondaire,Groupe4,3.0,marié,1,owned,0,2,0,0,6697,jeune,2000,576,vert
urbain,18,homme,supérieur,Groupe3,0.0,marié,1,rented,0,1,0,0,23779,jeune,2006,324,vert
urbain,38,femme,fondamental,Groupe2,14.0,marié,1,owned,0,1,1,1,15964,adulte,1986,1444,bleu
urbain,41,homme,secondaire,Groupe6,17.0,célibataire,1,rented,0,0,1,1,16604,adulte,1983,1681,bleu
urbain,45,femme,supérieur,Groupe1,18.0,marié,0,owned,0,2,0,1,28707,adulte,1979,2025,bleu
urbain,23,homme,secondaire,Groupe5,4.0,marié,1,owned,0,1,1,0,15576,jeune,2001,529,vert
rural,42,homme,fondamental,Groupe2,15.0,marié,0,owned,1,0,0,1,21678,adulte,1982,1764,rouge
urbain,36,femme,sans_niveau,Groupe6,14.0,marié,0,rented,0,1,0,1,5444,adulte,1988,1296,vert
urbain,34,homme,fondamental,Groupe4,7.0,marié,1,rented,0,1,0,0,12131,adulte,1990,1156,jaune
rural,18,homme,,Groupe3,0.0,marié,0,owned,1,2,1,0,32327,jeune,2006,324,jaune
urbain,37,homme,secondaire,Groupe6,13.0,veuf,1,rented,1,0,0,0,10054,adulte,1987,1369,jaune
urbain,37,homme,sans_niveau,Groupe3,,marié,1,rented,0,1,0,0,21771,adulte,1987,1369,rouge
urbain,36,femme,fondamental,Groupe4,9.0,célibataire,0,rented,0,0,0,0,3446,adulte,1988,1296,rouge
urbain,41,homme,fondamental,Groupe5,15.0,célibataire,0,owned,0,0,1,0,9171,adulte,1983,1681,jaune
rural,45,homme,sans_niveau,Groupe5,21.0,marié,0,owned,1,1,1,0,2702,adulte,1979,2025,vert
rural,18,femme,supérieur,Groupe6,0.0,célibataire,0,owned,1,0,1,1,2929,jeune,2006,324,vert
urbain,31,homme,secondaire,Groupe3,9.0,célibataire,1,owned,0,0,0,0,34045,adulte,1993,961,jaune
rural,42,femme,secondaire,Groupe2,14.0,veuf,1,rented,1,1,0,1,3858,adulte,1982,1764,jaune
rural,30,homme,fondamental,Groupe3,,célibataire,0,owned,1,1,0,1,6367,adulte,1994,900,jaune
urbain,49,homme,supérieur,Groupe5,22.0,veuf,1,owned,0,1,1,1,37673,sénior,1975,2401,bleu
rural,36,homme,supérieur,Groupe2,15.0,marié,0,owned,0,1,1,1,6564,adulte,1988,1296,jaune
urbain,18,homme,sans_niveau,Groupe5,0.0,célibataire,1,rented,0,0,0,0,18990,jeune,2006,324,bleu
rural,47,homme,fondamental,Groupe2,15.0,célibataire,1,owned,0,0,1,1,8182,sénior,1977,2209,vert
rural,33,femme,secondaire,Groupe6,13.0,célibataire,1,owned,1,1,0,0,3670,adulte,1991,1089,bleu
urbain,18,homme,supérieur,Groupe4,0.0,marié,0,rented,0,1,0,0,24611,jeune,2006,324,vert
urbain,31,homme,secondaire,Groupe1,7.0,célibataire,1,owned,0,1,0,1,31476,adulte,1993,961,rouge
urbain,18,femme,supérieur,Groupe2,0.0,célibataire,0,rented,1,2,0,1,31223,jeune,2006,324,vert
urbain,46,femme,secondaire,Groupe4,22.0,célibataire,1,owned,0,0,0,0,8494,sénior,1978,2116,rouge
rural,34,homme,sans_niveau,Groupe4,12.0,célibataire,0,other,1,1,1,0,3896,adulte,1990,1156,vert
rural,21,femme,sans_niveau,Groupe3,3.0,marié,1,owned,1,2,1,1,4366,jeune,2003,441,vert
urbain,47,femme,supérieur,Groupe5,21.0,célibataire,1,owned,0,0,1,0,20462,sénior,1977,2209,rouge
urbain,41,homme,sans_niveau,Groupe1,17.0,marié,0,owned,0,1,1,1,27865,adulte,1983,1681,rouge
urbain,31,homme,fondamental,Groupe2,5.0,divorcé,1,owned,1,3,1,1,16266,adulte,1993,961,vert
urbain,18,femme,fondamental,Groupe2,0.0,marié,1,owned,0,1,1,1,8887,jeune,2006,324,bleu
urbain,22,homme,fondamental,Groupe5,0.0,célibataire,0,rented,0,0,0,1,15553,jeune,2002,484,rouge
urbain,22,homme,secondaire,Groupe2,0.0,célibataire,1,owned,0,1,0,1,11681,jeune,2002,484,bleu
rural,46,femme,supérieur,Groupe5,23.0,marié,1,owned,0,2,1,1,8280,sénior,1978,2116,rouge
urbain,18,homme,supérieur,Groupe4,0.0,célibataire,0,owned,0,0,0,0,11913,jeune,2006,324,bleu
urbain,34,homme,supérieur,Groupe3,13.0,marié,1,owned,0,2,0,0,12657,adulte,1990,1156,rouge
rural,31,homme,fondamental,Groupe2,4.0,marié,0,rented,1,1,1,1,7140,adulte,1993,961,vert
urbain,50,femme,supérieur,Groupe5,25.0,divorcé,1,rented,0,0,1,0,31245,sénior,1974,2500,vert
rural,38,homme,fondamental,Groupe3,12.0,marié,1,owned,0,2,1,0,4712,adulte,1986,1444,jaune
rural,43,homme,supérieur,Groupe5,21.0,célibataire,0,owned,0,0,1,1,15705,adulte,1981,1849,bleu
urbain,27,femme,,Groupe3,9.0,divorcé,1,other,0,0,0,1,6774,adulte,1997,729,rouge
urbain,18,femme,fondamental,Groupe5,0.0,célibataire,0,rented,1,0,1,0,17152,jeune,2006,324,jaune
urbain,30,homme,secondaire,Groupe1,8.0,célibataire,1,other,0,0,0,0,24932,adulte,1994,900,jaune
urbain,46,femme,,Groupe1,15.0,marié,0,owned,0,3,0,1,14207,sénior,1978,2116,rouge
urbain,46,homme,secondaire,Groupe2,21.0,veuf,1,rented,0,0,1,1,18458,sénior,1978,2116,vert
urbain,28,homme,secondaire,Groupe5,2.0,marié,1,rented,0,4,0,0,11425,adulte,1996,784,vert
urbain,22,femme,secondaire,Groupe3,1.0,divorcé,1,owned,0,2,1,0,12670,jeune,2002,484,jaune
urbain,19,homme,supérieur,Groupe6,1.0,célibataire,1,owned,0,3,0,1,13821,jeune,2005,361,vert
urbain,32,femme,fondamental,Groupe5,8.0,marié,1,rented,0,1,0,0,13427,adulte,1992,1024,bleu
rural,37,homme,sans_niveau,Groupe5,8.0,marié,0,owned,1,2,1,0,9749,adulte,1987,1369,jaune
urbain,57,homme,sans_niveau,Groupe2,25.0,marié,1,owned,0,1,1,1,41342,sénior,1967,3249,bleu
urbain,36,femme,supérieur,Groupe2,15.0,marié,0,owned,0,2,0,1,43690,adulte,1988,1296,bleu
urbain,44,homme,fondamental,Groupe3,21.0,veuf,0,other,0,0,1,0,28720,adulte,1980,1936,jaune
rural,23,homme,secondaire,Groupe5,0.0,marié,1,owned,0,1,1,0,5345,jeune,2001,529,bleu
urbain,35,femme,fondamental,Groupe5,9.0,marié,1,rented,0,4,0,0,10471,adulte,1989,1225,bleu
rural,37,homme,sans_niveau,Groupe5,13.0,célibataire,0,rented,0,0,1,1,13512,adulte,1987,1369,bleu
rural,32,homme,fondamental,Groupe4,10.0,marié,1,owned,1,0,1,0,13603,adulte,1992,1024,vert
urbain,34,homme,fondamental,Groupe3,11.0,marié,1,owned,0,0,0,1,11110,adulte,1990,1156,jaune
rural,36,homme,fondamental,Groupe5,8.0,marié,0,owned,1,0,0,0,9866,adulte,1988,1296,rouge
urbain,42,femme,supérieur,Groupe3,14.0,marié,0,rented,0,3,0,1,49260,adulte,1982,1764,rouge
urbain,52,homme,supérieur,Groupe5,20.0,célibataire,1,owned,0,1,0,0,7158,sénior,1972,2704,rouge
urbain,18,homme,fondamental,Groupe2,0.0,célibataire,1,rented,0,0,0,1,20445,jeune,2006,324,rouge
urbain,51,homme,supérieur,Groupe5,20.0,divorcé,0,rented,0,0,1,0,71039,sénior,1973,2601,jaune
urbain,18,homme,,Groupe1,0.0,célibataire,1,owned,0,3,1,1,57294,jeune,2006,324,rouge
rural,39,femme,supérieur,Groupe4,17.0,marié,0,other,1,3,1,1,19084,adulte,1985,1521,rouge
urbain,70,homme,secondaire,Groupe1,,célibataire,1,other,0,1,1,1,118318,âgé,1954,4900,jaune
urbain,34,homme,fondamental,Groupe6,9.0,marié,1,rented,0,2,1,0,27672,adulte,1990,1156,jaune
urbain,37,femme,fondamental,Groupe3,13.0,célibataire,1,,0,1,0,0,24310,adulte,1987,1369,rouge
urbain,30,femme,sans_niveau,Groupe5,7.0,marié,1,rented,0,0,0,0,15144,adulte,1994,900,vert
rural,45,femme,fondamental,Groupe3,22.0,célibataire,0,owned,1,0,0,0,11304,adulte,1979,2025,bleu
urbain,40,femme,secondaire,Groupe4,18.0,marié,1,owned,0,1,1,0,24172,adulte,1984,1600,jaune
urbain,24,femme,sans_niveau,Groupe5,2.0,divorcé,1,rented,0,0,0,0,5946,jeune,2000,576,jaune
urbain,33,femme,sans_niveau,Groupe3,12.0,veuf,1,owned,0,0,0,0,9021,adulte,1991,1089,rouge
rural,18,homme,secondaire,Groupe2,0.0,célibataire,0,owned,1,0,1,1,1811,jeune,2006,324,vert
urbain,33,homme,fondamental,Groupe5,9.0,célibataire,1,owned,1,2,0,1,11850,adulte,1991,1089,jaune
rural,28,homme,fondamental,Groupe2,3.0,célibataire,0,owned,1,1,1,0,5310,adulte,1996,784,jaune
urbain,37,homme,fondamental,Groupe5,17.0,marié,0,rented,1,1,0,0,24313,adulte,1987,1369,jaune
rural,24,homme,supérieur,Groupe4,6.0,célibataire,0,owned,0,1,1,0,6655,jeune,2000,576,vert
urbain,31,femme,supérieur,Groupe2,,divorcé,0,rented,0,0,0,0,16755,adulte,1993,961,rouge
urbain,35,femme,secondaire,Groupe4,15.0,célibataire,0,owned,0,0,0,0,11110,adulte,1989,1225,vert
urbain,36,femme,secondaire,Groupe3,9.0,marié,0,rented,1,3,0,0,13091,adulte,1988,1296,jaune
rural,39,homme,fondamental,Groupe2,14.0,célibataire,0,rented,0,2,1,0,11121,adulte,1985,1521,bleu
rural,32,homme,sans_niveau,Groupe1,6.0,célibataire,0,other,1,0,1,1,2460,adulte,1992,1024,jaune
urbain,23,homme,fondamental,Groupe3,4.0,célibataire,1,owned,0,0,0,0,17425,jeune,2001,529,vert
rural,36,femme,secondaire,Groupe5,13.0,marié,1,owned,1,1,1,0,2141,adulte,1988,1296,bleu
rural,32,femme,supérieur,Groupe6,13.0,divorcé,1,owned,1,1,1,0,4282,adulte,1992,1024,bleu
urbain,50,femme,fondamental,Groupe3,22.0,célibataire,1,owned,0,0,1,0,209948,sénior,1974,2500,rouge
urbain,52,homme,supérieur,Groupe3,25.0,célibataire,1,owned,0,0,1,0,49540,sénior,1972,2704,bleu
urbain,18,femme,fondamental,Groupe4,0.0,marié,1,owned,0,0,0,1,2616,jeune,2006,324,vert
urbain,44,homme,fondamental,Groupe4,13.0,veuf,1,owned,0,1,0,1,11967,adulte,1980,1936,vert
rural,47,homme,fondamental,Groupe2,24.0,célibataire,0,owned,0,0,1,1,4226,sénior,1977,2209,bleu
rural,18,femme,fondamental,Groupe1,0.0,célibataire,0,owned,1,0,0,1,1447,jeune,2006,324,bleu
urbain,43,femme,,Groupe2,11.0,divorcé,0,other,0,0,1,1,12462,adulte,1981,1849,rouge
urbain,48,homme,fondamental,Groupe5,14.0,marié,0,owned,0,2,1,1,9256,sénior,1976,2304,bleu
urbain,20,homme,fondamental,Groupe3,0.0,marié,0,owned,0,0,1,1,4889,jeune,2004,400,rouge
rural,31,homme,secondaire,Groupe1,6.0,célibataire,1,rented,1,0,1,1,27095,adulte,1993,961,jaune
rural,37,femme,secondaire,Groupe5,9.0,marié,0,owned,1,3,0,1,1644,adulte,1987,1369,jaune
rural,43,femme,secondaire,Groupe5,18.0,marié,0,owned,1,2,0,0,3366,adulte,1981,1849,bleu
rural,20,femme,secondaire,Groupe5,,marié,1,owned,1,2,1,0,3951,jeune,2004,400,jaune
urbain,52,homme,secondaire,Groupe3,24.0,divorcé,0,owned,0,1,1,0,17127,sénior,1972,2704,vert
urbain,18,femme,fondamental,Groupe4,,marié,1,owned,0,2,1,0,13886,jeune,2006,324,rouge
urbain,54,femme,fondamental,Groupe5,26.0,veuf,0,rented,0,1,0,0,23080,sénior,1970,2916,jaune
rural,43,femme,fondamental,Groupe6,21.0,célibataire,1,owned,0,3,0,0,4921,adulte,1981,1849,jaune
urbain,25,femme,,Groupe1,5.0,célibataire,0,rented,0,0,0,0,10697,jeune,1999,625,rouge
urbain,47,femme,,Groupe6,17.0,célibataire,0,owned,0,2,1,0,17891,sénior,1977,2209,bleu
urbain,19,homme,sans_niveau,Groupe2,1.0,veuf,1,other,0,1,0,1,21185,jeune,2005,361,vert
rural,36,homme,fondamental,Groupe3,16.0,divorcé,1,rented,1,0,1,1,4570,adulte,1988,1296,jaune
urbain,38,homme,,Groupe2,11.0,marié,0,owned,0,2,1,1,84129,adulte,1986,1444,rouge
urbain,38,homme,fondamental,Groupe6,10.0,marié,1,owned,0,1,1,0,11667,adulte,1986,1444,vert
urbain,22,homme,supérieur,Groupe2,1.0,veuf,1,owned,0,1,1,1,58269,jeune,2002,484,jaune
rural,27,femme,sans_niveau,Groupe5,2.0,divorcé,0,owned,0,0,1,0,4818,adulte,1997,729,bleu
rural,36,femme,secondaire,Groupe4,12.0,marié,0,owned,0,1,1,1,9574,adulte,1988,1296,rouge
urbain,24,homme,secondaire,Groupe6,0.0,célibataire,1,owned,0,1,1,0,14553,jeune,2000,576,jaune
rural,39,homme,fondamental,Groupe1,10.0,marié,0,owned,1,1,0,0,3919,adulte,1985,1521,vert
urbain,25,femme,sans_niveau,Groupe3,2.0,marié,0,rented,0,1,1,1,3171,jeune,1999,625,vert
urbain,50,homme,sans_niveau,Groupe2,23.0,veuf,1,rented,1,1,0,1,24465,sénior,1974,2500,bleu
rural,58,femme,secondaire,Groupe2,24.0,marié,0,owned,1,1,0,1,3355,sénior,1966,3364,jaune
rural,30,homme,supérieur,Groupe4,8.0,célibataire,0,owned,0,2,0,0,5635,adulte,1994,900,jaune
rural,48,homme,fondamental,Groupe2,18.0,célibataire,0,rented,1,1,0,1,29368,sénior,1976,2304,rouge
rural,31,homme,secondaire,Groupe4,10.0,célibataire,0,owned,1,0,1,0,6406,adulte,1993,961,rouge
urbain,20,homme,,Groupe2,1.0,divorcé,1,rented,0,0,1,1,6998,jeune,2004,400,bleu
urbain,28,femme,secondaire,Groupe6,,célibataire,1,rented,1,1,0,0,12082,adulte,1996,784,bleu
urbain,36,homme,fondamental,Groupe5,14.0,marié,1,rented,0,0,1,0,7172,adulte,1988,1296,bleu
urbain,18,homme,sans_niveau,Groupe1,0.0,veuf,1,rented,0,0,0,1,23549,jeune,2006,324,vert
urbain,44,femme,fondamental,Groupe5,19.0,veuf,0,other,0,1,0,1,13056,adulte,1980,1936,jaune
rural,36,homme,secondaire,Groupe5,5.0,divorcé,1,rented,1,1,1,1,10960,adulte,1988,1296,bleu
urbain,50,femme,secondaire,Groupe1,16.0,marié,0,rented,0,1,0,1,8514,sénior,1974,2500,rouge
rural,44,homme,fondamental,Groupe4,15.0,célibataire,0,owned,1,2,1,1,3094,adulte,1980,1936,vert
urbain,36,homme,,Groupe2,12.0,célibataire,0,rented,0,0,1,1,8824,adulte,1988,1296,rouge
rural,29,homme,,Groupe1,6.0,divorcé,0,owned,1,0,0,0,7003,adulte,1995,841,jaune
urbain,57,femme,secondaire,Groupe5,28.0,marié,1,rented,1,3,1,0,10087,sénior,1967,3249,jaune
urbain,67,homme,fondamental,Groupe4,37.0,célibataire,1,owned,0,0,0,1,18907,âgé,1957,4489,jaune
urbain,29,homme,,Groupe4,2.0,marié,1,rented,0,0,0,0,39412,adulte,1995,841,vert
urbain,50,femme,fondamental,Groupe2,21.0,célibataire,1,rented,0,1,0,1,65242,sénior,1974,2500,vert
rural,24,femme,supérieur,Groupe3,0.0,célibataire,0,owned,1,0,1,0,10243,jeune,2000,576,vert
urbain,26,femme,sans_niveau,Groupe2,5.0,marié,1,rented,0,3,0,1,10999,adulte,1998,676,jaune
urbain,29,femme,secondaire,Groupe4,5.0,marié,0,owned,0,1,0,0,20476,adulte,1995,841,jaune
rural,45,homme,supérieur,Groupe3,18.0,célibataire,0,owned,1,0,0,0,3160,adulte,1979,2025,rouge
urbain,18,femme,fondamental,Groupe6,0.0,marié,0,owned,0,1,0,0,9512,jeune,2006,324,vert
rural,58,femme,supérieur,Groupe1,29.0,marié,0,owned,1,0,1,1,42024,sénior,1966,3364,vert
rural,49,homme,supérieur,Groupe2,13.0,marié,0,other,0,0,1,0,18493,sénior,1975,2401,rouge
rural,44,homme,fondamental,Groupe5,17.0,célibataire,1,owned,1,0,0,0,81485,adulte,1980,1936,rouge
